temp1,temp2,pressure1,proximity1,alarm,solution
4.9,3.1,1.5,0.1,0, 
5.7,3.8,1.7,0.3,0,  
4.4,3.2,1.3,0.2,0,  
5.4,3.4,1.5,0.4,0,  
5.1,3.7,1.5,0.4,0,  
5.8,4,1.2,0.2,0,  
5.4,3.9,1.7,0.4,0,  
5.7,4.4,1.5,0.4,0,  
5.4,3.9,1.3,0.4,0,  
5.2,3.5,1.5,0.2,0,  
5.1,3.8,1.5,0.3,0,  
4.8,3,1.4,0.3,0,  
5.1,3.8,1.9,0.4,0,  
4.7,3.2,1.6,0.2,0,  
4.8,3.4,1.6,0.2,0,  
4.6,3.6,1,0.2,0,  
5,3.3,1.4,0.2,0,  
5,3.2,1.2,0.2,0,  
4.4,3,1.3,0.2,0,  
5,3.4,1.5,0.2,0,  
4.7,3.2,1.3,0.2,0,   
5.5,3.5,1.3,0.2,0,  
4.9,3.1,1.5,0.1,0,  
5.4,3.7,1.5,0.2,0,  
4.9,3.1,1.5,0.1,0,  
5,3.5,1.3,0.3,0,  
5.1,3.5,1.4,0.3,0,   
4.6,3.1,1.5,0.2,0,  
4.6,3.4,1.4,0.3,0,   
4.6,3.2,1.4,0.2,0,  
5.1,3.8,1.6,0.2,0,  
4.9,3,1.4,0.2,0,  
4.5,2.3,1.3,0.3,0,  
5,3.4,1.6,0.4,0,  
5.2,3.4,1.4,0.2,0,   
5.3,3.7,1.5,0.2,0,  
5,3.6,1.4,0.2,0,  
4.8,3.1,1.6,0.2,0,  
5,3,1.6,0.2,0,  
5,3.5,1.6,0.6,0,  
4.4,2.9,1.4,0.2,0,   
4.8,3,1.4,0.1,0,  
5,2.3,3.3,1,1, reduce the pressure by 43
6.7,3.1,4.4,1.4,1, reduce the pressure by 44
5.2,2.7,3.9,1.4,1, reduce the pressure by 45
6.9,3.1,4.9,1.5,1, reduce the pressure by 46
6.3,3.3,4.7,1.6,1, reduce the pressure by 47
5.8,2.6,4,1.2,1, reduce the pressure by 48
5.4,3,4.5,1.5,1, reduce the pressure by 49
6.7,3,5,1.7,1, reduce the pressure by 50
6.3,2.3,4.4,1.3,1, reduce the pressure by 51
5.1,2.5,3,1.1,1, reduce the pressure by 52
6.4,3.2,4.5,1.5,1, reduce the pressure by 53
6.6,3,4.4,1.4,1, reduce the pressure by 54
6.1,2.8,4,1.3,1, reduce the pressure by 55
7,3.2,4.7,1.4,1, reduce the pressure by 56
5,2,3.5,1,1, reduce the pressure by 57
5.6,2.5,3.9,1.1,1, reduce the pressure by 58
6.2,2.2,4.5,1.5,1, reduce the pressure by 59
6.6,2.9,4.6,1.3,1, reduce the pressure by 60
5.5,2.4,3.8,1.1,1, reduce the pressure by 61
5.7,2.9,4.2,1.3,1, reduce the pressure by 62
6,2.9,4.5,1.5,1, reduce the pressure by 63
6.1,2.9,4.7,1.4,1, reduce the pressure by 64
6.5,2.8,4.6,1.5,1, reduce the pressure by 65
5.6,2.7,4.2,1.3,1, reduce the pressure by 66
6.8,2.8,4.8,1.4,1, reduce the pressure by 67
5.7,2.8,4.5,1.3,1, reduce the pressure by 68
6,2.7,5.1,1.6,1, reduce the pressure by 69
6.1,2.8,4.7,1.2,1, reduce the pressure by 70
5.9,3.2,4.8,1.8,1, reduce the pressure by 71
4.9,2.4,3.3,1,1, reduce the pressure by 72
5.8,2.7,4.1,1,1, reduce the pressure by 73
5.6,2.9,3.6,1.3,1, reduce the pressure by 74
5.7,2.8,4.1,1.3,1, reduce the pressure by 75
5.5,2.6,4.4,1.2,1, reduce the pressure by 76
5.7,3,4.2,1.2,1, reduce the pressure by 77
5.5,2.4,3.7,1,1, reduce the pressure by 78
